場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2024-03-23,家族,"QP深煎りごまド1,",ドレッシング,調味料,298,4,0,1287
イオン,2024-03-23,家族,雪メグ6Pチーズ474**,チーズ,乳製品,158,3,0,512
イオン,2024-03-23,家族,宗家キムチ辛口,キムチ,加工品,428,2,428,462
イオン,2024-03-23,家族,大根,大根,野菜,60,1,0,65
イオン,2024-03-23,家族,BP油揚げ,油揚げ,加工品,98,1,20,84
イオン,2024-03-23,家族,JNメープルシナモン,アーモンド,お菓子,450,1,0,486
イオン,2024-03-23,家族,MP塩銀鮭(甘口)切身,鮭,魚類,403,1,121,305
イオン,2024-03-23,家族,塩紅鮭(中辛塩味)3切,鮭,魚類,634,1,191,478
イオン,2024-03-23,家族,じゃがいも,じゃがいも,野菜,98,2,0,212
イオン,2024-03-23,家族,霜降りひらたけ,ひらたけ,野菜,98,1,0,106
駐車場,2024-03-24,家族,駐車代,駐車場,その他,400,1,0,400
FamilyMart,2024-03-27,父,トルティーヤ牛焼肉ハム,牛,肉類,398,1,0,398
FamilyMart,2024-03-29,父,トルティーヤ牛焼肉ハム,牛,肉類,398,1,0,398
LAWSON,2024-03-27,父,モリナガラムネ,ラム,肉類,90,1,0,90
LAWSON,2024-03-27,父,UCモチ食感ロール生クリーム入り, プレミアムロール,お菓子,343,1,0,343
LAWSON,2024-03-25,父,ラムネ,ラムネ,お菓子,90,1,0,90
イオン,2024-03-25,父,一番搾り超芳醇,ビール,飲み物,248,1,0,273
イオン,2024-03-25,父,アサヒ生ビール黒生,ビール,飲み物,195,1,0,215
イオン,2024-03-29,家族,#さつま姫牛,牛,肉類,500,1,0,540
イオン,2024-03-29,家族,#さつま姫牛,牛,肉類,500,1,0,540
イオン,2024-03-29,家族,#さつま姫牛,牛,肉類,550,1,0,594
イオン,2024-03-29,家族,#さつま姫牛,牛,肉類,550,1,0,594
イオン,2024-03-29,家族,#さつま姫牛,牛,肉類,500,1,0,540
イオン,2024-03-28,家族,牛肉ももシチュー用US,牛,肉類,160,1,0,173
イオン,2024-03-28,家族,豚肉バラかたまり,豚,肉類,150,1,0,162
イオン,2024-03-28,家族,牛肉ももシチュー用US,牛,肉類,150,1,0,162
イオン,2024-03-28,家族,豚焼肉アメリカ産,豚,肉類,100,1,0,108
イオン,2024-03-28,家族,タスマニアビーフ,牛,肉類,500,1,0,540
イオン,2024-03-28,家族,タスマニアビーフ,牛,肉類,500,1,0,540
イオン,2024-03-28,家族,豚焼肉アメリカ産,豚,肉類,100,1,0,108
イオン,2024-03-28,父,レモンサワー,ビール,飲み物,128,1,0,141
イオン,2024-03-28,家族,タスマニアビーフ,牛,肉類,500,1,0,540
FamilyMart,2024-03-28,父,トルティーヤ牛焼肉ハム,牛,肉類,398,1,0,398
NewDays,2024-03-27,父,ブラックサンダー¥,ブラックサンダー,お菓子,38,1,0,38
HAC,2024-03-27,家族,38アタックZEROPSハヤフホン¥,洗剤,その他,198,1,20,192
Enejet,2024-03-26,家族,レギュラー,レギュラー,ガソリン,3160,1,0,3160
イオン,2024-03-30,家族,ブルガリL,ヨーグルト,乳製品,150,1,6,156
イオン,2024-03-30,父,無糖Wシークヮーサー,酒,飲み物,108,1,6,112
イオン,2024-03-30,家族,冷六,豆腐,野菜,136,1,73,68
イオン,2024-03-30,家族,BPチルド焼売,焼売,加工品,98,1,24,80
イオン,2024-03-30,家族,ごませんべい,せんべい,お菓子,100,2,10,205
イオン,2024-03-30,家族,ハムシャウエッセン,ウインナー,加工品,298,1,15,306
イオン,2024-03-30,家族,焼えび風味スティック,かまぼこ,加工品,98,1,5,100
イオン,2024-03-30,家族,しらす,しらす,魚類,248,1,60,203
イオン,2024-03-30,家族,なかよしパック,卵,乳製品,158,1,8,162
イオン,2024-03-30,家族,エリンギ,エリンギ,野菜,88,1,5,90
イオン,2024-03-30,家族,柿の種チョコ,チョコ,お菓子,100,4,20,410
イオン,2024-03-30,家族,美味爽やかバナナ,バナナ,果物,60,1,3,62
イオン,2024-03-30,家族,小松菜,小松菜,野菜,60,1,3,62
イオン,2024-03-30,家族,"フルグラ750g1,",フルグラ,シリアル,698,2,70,1432
イオン,2024-03-30,家族,チャルメラバリカタ豚骨,豚,肉類,298,3,45,917
イオン,2024-03-30,家族,"雪印バタ1,",バター,乳製品,368,3,57,1131
イオン,2024-03-30,家族,TVBPのり茶漬け,のり,加工品,148,3,24,454
イオン,2024-03-30,家族,亀田のカレーせん,カレー,調味料,98,1,5,100
イオン,2024-03-30,家族,手塩屋,せんべい,お菓子,98,2,10,201
イオン,2024-03-30,家族,かまぼこ,かまぼこ,加工品,98,1,34,69
イオン,2024-03-30,家族,サラダフレーク,かまぼこ,加工品,218,1,74,156
イオン,2024-03-30,家族,揚げせん,揚げせん,お菓子,100,1,5,103
イオン,2024-03-30,家族,ひねり揚げ,ひねり揚げ,お菓子,100,1,5,103
イオン,2024-03-30,家族,絹厚揚げ,厚揚げ,加工品,98,2,48,160
イオン,2024-03-30,家族,キャベツ,キャベツ,野菜,100,2,10,205
イオン,2024-03-30,家族,ベビーリーフ,レタス,野菜,100,1,5,103
イオン,2024-03-30,家族,かぼちゃ,かぼちゃ,野菜,88,1,5,90
イオン,2024-03-30,家族,焼きのり韓国,のり,加工品,228,5,60,1166
イオン,2024-03-31,家族,にんじん,人参,野菜,98,2,0,212
イオン,2024-03-31,家族,にんじん,人参,野菜,98,2,0,212
イオン,2024-03-31,家族,BP成分無調整376esc,牛乳,乳製品,188,2,0,406
イオン,2024-03-31,家族,和日彩々小粒納豆,納豆,加工品,58,2,24,99
イオン,2024-03-31,家族,BPちくわ,ちくわ,加工品,98,1,20,84
イオン,2024-03-31,家族,BP豆腐,豆腐,乳製品,78,1,0,84
イオン,2024-03-31,家族,TVGEハンバーグ1.,ハンバーグ,加工品,598,2,240,1032
イオン,2024-03-31,家族,2(マルちゃん焼そば196*く個X単,蕎麦,主食,98,2,0,212
イオン,2024-03-31,家族,伊藤アルトバイエルン,ソーセージ,肉類,716,1,0,773
イオン,2024-03-31,家族,TV米粉餃子の皮,米,主食,145,2,146,156
イオン,2024-03-31,家族,レタス,パン,主食,98,1,0,106
イオン,2024-03-31,家族,カボチャ,かぼちゃ,野菜,88,1,0,95
イオン,2024-03-31,家族,にんじん,人参,野菜,98,2,0,212
イオン,2024-03-31,家族,ヘルシーゴマ,ご飯,主食,398,2,0,860
イオン,2024-03-31,家族,サンチュ,サンチュ,野菜,88,3,0,285
イオン,2024-03-31,家族,大根,大根,野菜,248,1,0,268
イオン,2024-03-31,家族,はまさき,みかん,果物,250,1,0,270
イオン,2024-03-31,家族,サイズミックス,卵,乳製品,148,2,0,320
イオン,2024-03-31,家族,なす,なす,野菜,58,4,36,212
イオン,2024-03-31,家族, 刺身コンニュクあお,こんにゃく,野菜,98,1,49,53
イオン,2024-03-31,父,"ドライゼロケース2,",ビール,飲み物,2380,1,480,2052
BRONCOBILLY,2024-04-06,家族, 200g ビリーハンバーグ,ハンバーグ,外食,1012,1,0,1012
BRONCOBILLY,2024-04-06,家族,山盛カットステーキL_E ¥,ステーキ,外食,1672,1,0,1672
ライフ,2014-04-14,家族,梅だれチキン竜田バーガー¥,チキン,肉類,278,1,0,300
ライフ,2014-04-14,家族,手包み2層あんぱん ¥,あんぱん,お菓子,178,1,0,192
ライフ,2014-04-14,家族,チョコクロワッサン3コ入¥,チョコ,お菓子,260,1,0,280
ライフ,2014-04-14,家族,Rコーヒー ¥,珈琲,飲み物,170,1,0,183
ライフ,2014-04-14,家族,Lカフェオレ ¥,珈琲,飲み物,230,1,0,248
ライフ,2014-04-14,家族,*フライドポテトR ¥,ポテト,お菓子,228,1,0,246
HAC,2024-04-13,家族,33メリットSPツメカエ2P ¥,リンス,日用品,398,1,40,393
イオン,2024-04-07,家族,TVBPビニール手袋 ,手袋,その他,90,1,5,93
イオン,2024-04-09,父,アサヒゼロ ,酒,飲み物,158,1,0,170
イオン,2024-04-09,父,無糖Wシークヮーサー ,酒,飲み物,108,1,0,118
イオン,2024-04-07,家族,サーモントラウト ,サーモン,魚類,632,1,32,648
イオン,2024-04-07,家族,作り手のたまご白 ,卵,乳製品,198,2,20,406
イオン,2024-04-07,家族,BP成分無調整牛乳1L376※↓,牛乳,乳製品,188,2,20,384
イオン,2024-04-07,家族,真あじ短冊刺身用 ,あじ,魚類,200,1,10,205
イオン,2024-04-07,家族,大ばちまぐろ ,まぐろ,魚類,788,1,40,807
イオン,2024-04-07,家族,トリモモニク ,鶏肉,肉類,631,1,332,322
イオン,2024-04-07,家族,トリモモニク ,鶏肉,肉類,676,1,355,346
イオン,2024-04-07,家族,BPチルド焼売 ,焼売,加工品,98,1,24,79
イオン,2024-04-07,家族,豚肉生姜焼用国産 ,豚,肉類,411,1,217,209
イオン,2024-04-07,家族,大ばちまぐろ ,まぐろ,魚類,1464,1,74,1501
イオン,2024-04-07,家族,伊藤アルトバイエルン ,ソーセージ,加工品,358,2,274,477
イオン,2024-04-07,家族,キャベツ(1玉) ,キャベツ,野菜,100,2,10,205
イオン,2024-04-07,家族,トマト,トマト,野菜,398,1,20,408
イオン,2024-04-07,家族,ぶなしめじ ,ぶなしめじ,野菜,98,1,5,100
イオン,2024-04-07,家族,なめこ(GE有機) ,なめこ,野菜,50,1,3,50
イオン,2024-04-07,家族,じゃがいも ,じゃがいも,野菜,120,2,12,246
イオン,2024-04-07,家族,ミズナ ,水菜,野菜,60,1,3,61
イオン,2024-04-07,家族,ブラック ,ブラック,お菓子,158,2,16,324
イオン,2024-04-07,家族,涼彩フルーティゼリーギフ750※↓,ゼリー,お菓子,750,1,38,768
イオン,2024-04-07,家族,マルゲリータ ,ピザ,主食,198,1,50,159
イオン,2024-04-07,家族,のむYG720ml ,飲むヨーグルト,飲み物,528,1,278,270
イオン,2024-04-07,家族,まるごとSOYカスピ海258※↓,ヨーグルト,乳製品,258,1,136,131
イオン,2024-04-07,家族,OGFTモカブレンド豆900※↓,モカ,飲み物,300,3,45,923
業務スーパー,2024-04-06,家族,かつおだし顆粒 ,かつお,魚類,458,1,0,494
業務スーパー,2024-04-06,家族,神戸物産上級本醸造,醤油,調味料,118,1,0,127
業務スーパー,2024-04-06,家族,新味創造白花豆 ,豆,加工品,88,1,0,95
業務スーパー,2024-04-06,家族,黒板こんにゃく ,こんにゃく,野菜,33,5,0,178
業務スーパー,2024-04-06,家族,ちょっと大きめのし,しらたき,野菜,39,5,0,210
業務スーパー,2024-04-06,家族,グリコプリッツ旨,プリッツ,お菓子,188,1,0,203
業務スーパー,2024-04-06,家族,天乃屋歌舞伎揚 ,歌舞伎揚,お菓子,175,1,0,189
業務スーパー,2024-04-06,家族,まんぷくクラブ,ちびラーメン,お菓子,268,2,0,578
業務スーパー,2024-04-06,家族,菊川の本みりん1L,みりん,調味料,258,1,0,283
業務スーパー,2024-04-06,家族,甘みの黒にんにく,にんにく,加工品,588,1,0,635
業務スーパー,2024-04-06,家族,メグミルク牧場の朝ヨ,ヨーグルト,乳製品,91,1,0,98
業務スーパー,2024-04-06,家族,業務用スライ,玉ねぎ,野菜,268,2,0,578
業務スーパー,2024-04-06,家族,油揚げ ,油揚げ,加工品,55,1,0,59
業務スーパー,2024-04-06,家族,白菜キムチ ,白菜,野菜,338,1,0,365
業務スーパー,2024-04-06,家族,シーサラダピュアふぶき(,サラダ,外食,138,1,0,149
業務スーパー,2024-04-06,家族,サラダスティック ,サラダ,外食,69,2,0,149
業務スーパー,2024-04-06,家族,スライスたまねぎ ,ねぎ,野菜,148,2,0,319
業務スーパー,2024-04-06,家族,いんげん ,いんげん,野菜,198,1,0,213
業務スーパー,2024-04-06,家族,冷凍刻み玉ねぎ ,ねぎ,野菜,128,1,0,138
業務スーパー,2024-04-06,家族,さといも乱切り ,さといも,野菜,268,2,0,578
業務スーパー,2024-04-06,家族,冷凍しいたけ(小) ,しいたけ,野菜,198,1,0,213
業務スーパー,2024-04-06,家族,リッチショコラケー,ケーキ,お菓子,298,1,0,321
業務スーパー,2024-04-06,家族,リッチ抹茶ケーキ,ケーキ,お菓子,348,1,0,375
HAC,,家族,33メリットSPツメカエ2P ¥,リンス,日用品,398,1,40,393
万葉うどん,2024-04-13,家族,とろろうどん ¥,とろろうどん,外食,860,1,0,860
万葉うどん,2024-04-13,家族,カレーうどん ¥,カレーうどん,外食,1020,1,0,1020
万葉うどん,2024-04-13,家族,おでん,おでん,外食,140,2,0,280
万葉うどん,2024-04-13,家族,お皿,お皿,日用品,200,1,0,200
イオン,2024-04-13,家族,クロワッサン4コ ,クロワッサン,主食,228,1,114,123
イオン,2024-04-13,家族,作り手のたまご白 ,卵,乳製品,218,2,0,470
イオン,2024-04-13,家族,ポッキー8袋 ,ポッキー,お菓子,178,3,0,576
イオン,2024-04-13,家族,いちごポッキー8袋 ,ポッキー,お菓子,178,1,0,192
イオン,2024-04-13,家族,キャベツ(1玉) ,キャベツ,野菜,198,1,0,213
イオン,2024-04-13,家族,辛子明太子大型揚 ,せんべい,肉類,128,1,0,138
イオン,2024-04-13,家族,揚げせん ,揚げせん,お菓子,100,1,0,108
イオン,2024-04-13,家族,ほうれん草 ,ほうれん草,野菜,98,1,0,105
イオン,2024-04-13,家族,BP豆腐 ,豆腐,乳製品,78,1,0,84
イオン,2024-04-13,家族,和日彩々小粒納豆 ,納豆,加工品,58,2,0,125
イオン,2024-04-13,家族,BPピュアチョコビター,チョコ,お菓子,88,3,0,285
イオン,2024-04-13,家族,えび入紅しょうが揚 ,小籠包,惣菜,158,1,0,170
イオン,2024-04-13,家族,BPちくわ ,ちくわ,加工品,98,1,0,105
イオン,2024-04-13,家族,EXBプチミルク ,パン,主食,188,1,94,101
イオン,2024-04-13,家族,イエロー50P ,紅茶,飲み物,428,2,172,738
イオン,2024-04-13,家族,ホットケーキミックス ,ケーキ,お菓子,238,2,96,410
イオン,2024-04-13,家族,深蒸し緑茶 ,緑茶,飲み物,548,1,110,473
イオン,2024-04-13,家族,コーンフレーク ,コーンフレーク,シリアル,198,4,160,682
イオン,2024-04-14,家族,きゅうり(袋) ,きゅうり,野菜,198,4,0,855
イオン,2024-04-06,家族,伊藤園トマネード ,トマトジュース,飲み物,198,1,104,101
イオン,2024-04-06,家族,伊藤園1日分の野菜,野菜ジュース,飲み物,278,1,146,142
イオン,2024-04-06,家族,野菜生活グリーンサラダ,野菜,野菜,238,1,12,244
イオン,2024-04-06,家族,ベーコンピザ ,ピザ,主食,49,4,50,157
イオン,2024-04-06,家族,究極のきぬ 248*↓,豆腐,加工品,248,1,131,126
イオン,2024-04-06,家族,ロイヤルブレッド6枚入 158※↓,ブレッド,主食,158,1,83,81
イオン,2024-04-06,家族,瀬戸内レモン500 ,レモネード,食べ物,398,1,209,204
イオン,2024-04-06,家族,ランチチョコまみれ ,チョコ,お菓子,198,1,104,101
イオン,2024-04-06,家族,BPチーズタルト ,チーズ,乳製品,118,8,496,483
イオン,2024-04-06,家族,レンコン ,れんこん,野菜,100,1,5,102
イオン,2024-04-06,家族,チャンピオンカレー中辛,カレー,調味料,398,1,20,408
イオン,2024-04-06,家族,アスパラガス ,アスパラガス,野菜,90,1,5,91
イオン,2024-04-06,家族,鳳梨酥,鳳梨酥,お菓子,1200,1,630,615
イオン,2024-04-01,父,SPゴールドスター ,酒,飲み物,148,1,0,162
イオン,2024-04-01,父,キリン晴れ風350缶 ,酒,飲み物,178,1,0,195
イオン,2024-04-01,家族,国産大豆お肉切りおとし,豆,加工品,263,1,132,141
イオン,2024-04-01,家族,国産大豆お肉切りおとし,豆,加工品,270,1,135,145
EXCELSIORE,2024-04-02,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-04-01,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
FamilyMart,2024-04-05,父,トルティーヤ牛焼肉ハム ,トルティーヤ,主食,398,1,0,398
EXCELSIOR,2024-04-11,父,コーヒーチケット3800 ¥,珈琲,飲み物,3800,1,0,3800
FamilyMart,2024-04-11,父,食品 ,食品,その他,398,1,50,348
EXCELSIOR,2024-04-11,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
EXCELSIOR,2024-04-10,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
FamilyMart,2024-04-10,父,トルティーヤ牛焼肉ハム ,牛,肉類,398,1,0,398
LAWSON,2024-04-09,父,ギュウヤキニク&ハムポテトトルティーヤ ,ハム,肉類,451,1,0,451
EXCELSIOR,2024-04-09,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
LAWSON,2024-04-08,父,UCモチ食感ロール生クリーム入り ,栗,お菓子,343,1,0,343
LAWSON,2024-04-08,父,モリナガラムネ ,ラム,肉類,100,1,0,100
EXCELSIOR,2024-04-08,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
FamilyMart,2014-04-08,父,トルティーヤ牛焼肉ハム ,牛,肉類,398,1,0,398
EXCELSIOR,2024-04-05,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
Enejet,2024-04-13,家族,洗車,洗車,車,800,1,100,700
Enejet,2024-04-06,家族,レギュラー,ガソリン,車,1640,1,0,1640
Enejet,2024-04-13,家族,レギュラー,ガソリン,車,3260,1,0,3260
LAWSON,2024-04-03,父,ギュウヤキニク&ハムポテトトルティーヤ ,ハム,肉類,451,1,0,451
FamilyMart,2024-04-01,父,トルティーヤ牛焼肉ハム,牛,肉類,398,1,0,398
FamilyMart,2024-04-02,父,トルティーヤ牛焼肉ハム ,牛,肉類,398,1,0,398
EXCELSIOR,2024-04-03,父,R・ブレンド ¥,珈琲,飲み物,380,1,0,380
ママン・ラトーナ,,家族,半熟カステラ※ ¥,カステラ,お菓子,450,1,0,450
ママン・ラトーナ,,家族,かりんとうドーナツ※ ¥, かりんとうドーナツ,主食,334,1,0,360
ママン・ラトーナ,,家族,開成カレーパン※ ¥,パン,主食,225,1,0,243
ママン・ラトーナ,,家族,淡雪小倉あんぱん※ ¥,あんぱん,主食,180,1,0,194
ママン・ラトーナ,,家族,くるみとピーナッツ※ ¥,ピーナッツ,お菓子,232,1,0,250
ママン・ラトーナ,,家族,キーマカレーフランス※ ¥,カレーパン,主食,280,1,0,302
ママン・ラトーナ,,家族,シリアルカンパーニュ※ ¥,パン,主食,250,1,0,270
ママン・ラトーナ,,家族,サンデー※ ¥,パン,主食,150,1,0,162
