場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
業務スーパー,2024-01-07,家族,サラダスティック,カニカマ,加工品,146,1,0,158
業務スーパー,2024-01-07,家族,フレッシュもやし,もやし,野菜,57,1,0,62
業務スーパー,2024-01-07,家族,いんげん,いんげん,野菜,198,1,0,214
業務スーパー,2024-01-07,家族,冷凍しいたけ(小),しいたけ,野菜,198,1,0,214
イオン,2024-01-07,家族,揚げせん,揚げせん,お菓子,100,2,0,216
イオン,2024-01-07,家族,TVBPのり茶漬け,茶漬け,調味料,148,1,0,160
イオン,2024-01-07,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,1,0,203
イオン,2024-01-07,家族,至高の逸品塩豆大福,豆,加工品,298,1,149,161
イオン,2024-01-07,家族,至高の逸品あんころ餅,餅,主食,248,1,124,134
イオン,2024-01-07,家族,苺のマーブルサンド,苺のサンド,お菓子,138,1,69,75
イオン,2024-01-07,家族,ボン甘口,カレー,レトルト食品,78,3,0,253
イオン,2024-01-07,家族,日本ハム天津閣,ハム,肉類,348,3,522,564
イオン,2024-01-07,家族,日本ハム天津閣,ハム,肉類,348,2,348,376
イオン,2024-01-07,家族,BPチルド焼売,焼売,加工品,98,1,49,53
イオン,2024-01-07,家族,日本ハムシャウエッセン,ハム,肉類,298,1,0,322
イオン,2024-01-07,家族,なす,なす,野菜,248,1,0,268
イオン,2024-01-07,家族,さつま芋,さつま芋,野菜,158,1,0,171
イオン,2024-01-07,家族,紀文あんまん,あんまん,加工品,228,1,114,123
イオン,2024-01-07,家族,柿の種チョコ,チョコ,お菓子,100,1,0,108
イオン,2024-01-07,家族,きゃべつ,きゃべつ,野菜,198,1,0,214
イオン,2024-01-07,家族,ビオいちじく4P,いちじく,野菜,188,4,376,406
イオン,2024-01-07,家族,BP成分無調整牛乳,牛乳,乳製品,188,1,0,203
イオン,2024-01-07,家族,BP豆腐,豆腐,乳製品,76,1,0,82
イオン,2024-01-07,家族,日本ハムシャウエッセン,ハム,肉類,298,3,0,966
イオン,2024-01-07,家族,濃厚スープカレー,カレー,調味料,498,1,0,538
イオン,2024-01-07,家族,TV素焼きうす皮ピー,ピーナッツ,お菓子,198,1,0,214
イオン,2024-01-07,家族,フルーツグラノラ,フルグラ,シリアル,648,2,260,1119
イオン,2024-01-07,家族,深蒸し緑茶,緑茶,飲み物,498,1,100,430
イオン,2024-01-07,家族,香ばしアーモンドチョコ,チョコ,お菓子,398,1,80,343
イオン,2024-01-07,家族,ごろグラチョコナッツ,チョコ,お菓子,518,1,104,447
イオン,2024-01-07,家族,コーンフレーク,コーンフレーク,シリアル,198,3,120,512
イオン,2024-01-07,家族,煮干,煮干し,加工品,498,1,100,430
イオン,2024-01-07,家族,和日彩々片栗粉,片栗粉,調味料,118,1,24,102
イオン,2024-01-07,家族,TVカットワカメ,ワカメ-,加工品,218,1,44,188
イオン,2024-01-07,家族,満月ポン,満月ポン,お菓子,158,1,0,171
イオン,2024-01-07,家族,柿の種チョコ,チョコ,お菓子,100,10,0,1080
イオン,2024-01-07,家族,TVBPビニール手袋,手袋,その他,90,1,0,97
イオン,2024-01-07,家族,黒ごまきなこ,ごまきなこ,お菓子,188,1,38,162
イオン,2024-01-07,家族,ポッキー,ポッキー,お菓子,218,2,0,471
イオン,2024-01-07,家族,いちご,いちご,果物,500,1,0,540
イオン,2024-01-07,家族,コマツナ,小松菜,野菜,50,1,0,54
イオン,2024-01-07,家族,カリフラワー,カリフラワー,野菜,298,1,0,322
イオン,2024-01-07,家族,日本ハムシャウエッセン,ハム,肉類,298,1,0,322
